timestamp,balance,realized_pnl,total_trades
2025-02-03T18:16:11.758334,53100,0,0
2025-02-03T18:16:11.759074,53018,0,0
2025-02-03T18:16:11.759221,52937,0,0
2025-02-03T18:16:11.759315,52856,0,0
2025-02-03T18:16:11.759375,52775,0,0
2025-02-03T18:16:11.759426,52694,0,0
2025-02-03T18:16:11.759475,52610,0,0
2025-02-03T18:16:11.759521,52527,0,0
2025-02-03T18:16:11.759566,52444,0,0
2025-02-03T18:16:11.759609,52444,0,0
2025-02-03T18:16:11.759652,52444,0,0
2025-02-03T18:16:11.759693,52444,0,0
2025-02-03T18:16:11.759734,52444,0,0
2025-02-03T18:16:11.759775,52444,0,0
2025-02-03T18:16:11.759816,52444,0,0
2025-02-03T18:16:11.759855,52444,0,0
2025-02-03T18:16:11.759896,52444,0,0
2025-02-03T18:16:11.759939,52365,0,0
2025-02-03T18:16:11.759980,52287,0,0
2025-02-03T18:16:11.760022,52209,0,0
2025-02-03T18:16:11.760063,52129,0,0
2025-02-03T18:16:11.760103,52049,0,0
2025-02-03T18:16:11.760143,52049,0,0
2025-02-03T18:16:11.760183,51971,0,0
2025-02-03T18:16:11.760223,51894,0,0
2025-02-03T18:16:11.760264,51820,0,0
2025-02-03T18:16:11.760304,51738,0,0
2025-02-03T18:16:11.760344,51656,0,0
2025-02-03T18:16:11.760384,51577,0,0
2025-02-03T18:16:11.760423,51496,0,0
2025-02-03T18:16:11.760463,51414,0,0
2025-02-03T18:16:11.760503,51332,0,0
2025-02-03T18:16:11.760542,51248,0,0
2025-02-03T18:16:11.760582,51164,0,0
2025-02-03T18:16:11.760622,51080,0,0
2025-02-03T18:16:11.760665,50997,0,0
2025-02-03T18:16:11.760705,50914,0,0
2025-02-03T18:16:11.760745,50832,0,0
2025-02-03T18:16:11.760784,50750,0,0
2025-02-03T18:16:11.760823,50668,0,0
2025-02-03T18:16:11.760862,50586,0,0
2025-02-03T18:16:11.760902,50504,0,0
2025-02-03T18:16:11.760941,50422,0,0
2025-02-03T18:16:11.760981,50340,0,0
2025-02-03T18:16:11.761020,50258,0,0
2025-02-03T18:16:11.761059,50177,0,0
