Total Realized PnL: 1719
Total Trades: 912
Total Contracts Traded: 1492
Average Holding Time: 7010.53 seconds
Best Trade: ('KXRTFLIGHTRISK-20', 'No', 33, 57, 24, 0.0)
Worst Trade: ('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)

Trade History:
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 77, -7, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 83, 77, -6, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 83, 77, -6, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 77, -1, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 77, -1, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 77, -3, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 77, -3, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 77, -1, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 77, 77, 0, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 74, 77, 3, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 77, -7, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 77, -7, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 77, -7, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 83, 77, -6, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 83, 77, -6, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 86400.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 77, -5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 77, -4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 77, 77, 0, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 77, 77, 0, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 74, 77, 3, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 74, 77, 3, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 75, 77, 2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 74, 77, 3, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 73, 77, 4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 70, 77, 7, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 70, 77, 7, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 69, 77, 8, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 67, 77, 10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 77, 15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 77, 15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 77, 15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 77, 15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 61, 77, 16, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 61, 77, 16, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 61, 77, 16, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 60, 77, 17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 77, 9, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 77, 11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 77, 13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 77, 12, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 67, 77, 10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 67, 77, 10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 70, 77, 7, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 71, 77, 6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 72, 77, 5, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 79, 77, -2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 84, -1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 84, -1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 84, -1, 0.0)
('KXRTFLIGHTRISK-20', 'No', 13, 6, -7, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 6, -6, 0.0)
('KXRTFLIGHTRISK-20', 'No', 13, 6, -7, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 6, -6, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 6, -6, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 6, -6, 0.0)
